New URI	persName syriaca-headword.en		persName ektobe-headword.Source 1.fr	relation possibly-identical	relation syriaca---differentFrom	death.Source 1		death when.Source 1	death notBefore.Source 1	death notAfter.Source 1	birth.Source 1	birth when.Source 1		floruit.Source 1.fr	floruit when.Source 1		floruit notBefore.Source 1		floruit notAfter.Source 1		persName syriaca-headword.Source 1.syr	persName.Source 1.syr	persName.Source 1.fr	state office.Source 1.fr	state office.Source 1.fr	note relation.Source 1.fr	persName.Source 1.fr	persName.Source 1.fr	persName.Source 1.ar	persName.Source 4.en-x-gedsh	Source 1	citedRange entry.Source 1	Source 4	citedRange pp.Source 4	person ana		
*** Syriaca ID	Syriaca Headword	Noms 	ektobe Headword (no date)	Possibly Identical?									extracted date							Formes usuelles	Formes usuelles (syriaque)	Formes usuelles (syriaque)	Formes usuelles (français)				Formes usuelles (français)	Formes usuelles (français)	Formes usuelles (arabe)							Rôles	Remarks for SYRIACA
3532	Haneh of Beth Seto	Ḥaneh de Bet Seto	Ḥaneh de Bet Seto																	ܚܢܗ 	ܚܢܗ 										2499				#syriaca-author 	Auteur	
3533	Hanun	Ḥanun	Ḥanun																	ܚܐܢܘܢ	ܚܐܢܘܢ										2499	Paris, Bibliothèque nationale de France, syr. 403 [http://www.msscatalog.org/64836]			#syriaca-author 	Auteur	Cf. Paris BnF syr. 403
3535	Ibn al-ʿAssal	Ibn al-'Assal († ca. 1265)	Ibn al-'Assal			 ca. 1265	† ca. 1265		1250	1280			† ca. 1265							ܐܒܢ ܐܠܥܣّܐܠ	ܐܒܢ ܐܠܥܣّܐܠ										2499	Charfet, Patriarchal Library, Rahmani 013 [http://www.msscatalog.org/61931]			#syriaca-author 	Auteur	cf. Charfet Rahmani 013
3536	Ignatius of Mor Matay	Ignaṭios de Mar-Mattaï	Ignaṭios de Mar-Mattaï																	ܐܝܓܢܐܛܝܘܣ	ܐܝܓܢܐܛܝܘܣ										2499				#syriaca-author 	Auteur	
3538	Isaac of Alqosh	Isaac d'Alqoš	Isaac d'Alqoš																	ܐܝܣܚܩ ܐܠܩܘܫܝܐ	ܐܝܣܚܩ ܐܠܩܘܫܝܐ										2499				#syriaca-author 	Auteur	
3539	Isaac of Mosul	Isḥaq de Mossoul	Isḥaq de Mossoul																	Isaac, ܐܣܚܩ	ܐܣܚܩ		Isaac								2499				#syriaca-author 	traducteur	
3540	Ishoʿyahb, metropolitan of Arbela	Išo'yahb (15 s.)	Išo'yahb										15 s.	15 s.		1350	1350	1550	1550	ܝܫܘܥܝܗܒ, Métropolite d'Arbèles 	ܝܫܘܥܝܗܒ			Métropolite d'Arbèles							2499				#syriaca-author 	Auteur	
3541	Jacob of Tagrit	Jacques de Tagrit (12-13 s.) 	Jacques de Tagrit										12-13 s.	12-13 s.		1050	1050	1350	1350	Jacques de Bartella, Sévère bar Šakku, ܝܥܩܘܒ, ܣܘܐܪܐ ܒܪ ܫܟܟܘ	ܝܥܩܘܒ	ܣܘܐܪܐ ܒܪ ܫܟܟܘ	Jacques de Bartella				Sévère bar Šakku				2499				#syriaca-author 	Auteur	
3542	John of Basra	Jean de Baṣra	Jean de Baṣra																	ܝܘܚܢܢ	ܝܘܚܢܢ										2499				#syriaca-author 	auteur	
3543	John of Karpathos	Jean de Carpathos (7 s.)	Jean de Carpathos										7 s.	7 s.		550	0550	750	0750	ܝܘܚܢܐ	ܝܘܚܢܐ										2499				#syriaca-author 	Auteur	
3544	John of Harran, Habira, and  Nisibis	Jean de Ḥarran, Ḥabira et Nisibe (13 s.)	Jean de Ḥarran, Ḥabira et Nisibe										13 s.	13 s.		1150	1150	1350	1350	ܐܝܐܘܢܝܣ	ܐܝܐܘܢܝܣ										2499				#syriaca-author 	auteur	
3545	John the Hesronite	Jean Hesronite (17 s.)	Jean Hesronite										17 s.	17 s.		1550	1550	1750	1750	ܝܘܚܢܢ	ܝܘܚܢܢ										2499				#syriaca-author 	auteur	
3546	John of Egypt	Jean d'Égypte (6 s.)	Jean d'Égypte										6 s.	6 s.		450	0450	650	0650	ܝܘܚܢܢ	ܝܘܚܢܢ										2499				#syriaca-author 	auteur	
3547	John the Bishop	Jean l'Évèque	Jean l'Évèque																	ܝܘܽܚܰܢܳܢ ܐܶܦܻܝܣܩܽܘܦܽܐ	ܝܘܽܚܰܢܳܢ ܐܶܦܻܝܣܩܽܘܦܽܐ										2499				#syriaca-author 	Auteur	
3548	John of the Thebaid	Jean de la Thébaïde	Jean de la Thébaïde																	ܝܘܚܢܐ ܐܠܬܒܐܝܣܝ 	ܝܘܚܢܐ ܐܠܬܒܐܝܣܝ 										2499				 	Auter 	
3549	George, director of the Maronite College of Rome	Jirjis de Rome (18 s.)	Jirjis de Rome										18 s.	18 s.		1650	1650	1850	1850	Georges ܓܪܓܣ 	ܓܪܓܣ		Georges								2499	Paris, Bibliothèque nationale de France, syr. 218 [http://www.msscatalog.org/63773]			#syriaca-author 	Auteur	Cf. Paris BnF syr. 218
3550	Job of Habsenas	Job de Ḥabsenas	Job de Ḥabsenas																	ܐܝܘܒ ܕܚܒܣܝܢܣ	ܐܝܘܒ ܕܚܒܣܝܢܣ										2499				#syriaca-author 	Auteur	
3551	Joseph Audo	Joseph Audo	Joseph Audo																	Patriarche de Mossoul ܝܘܣܦ ܐܘܕܐ	ܝܘܣܦ ܐܘܕܐ			Patriarche de Mossoul							2499				#syriaca-author 	traducteur	
3552	Joseph Baslucita	Joseph Baslucita (17 s.)	Joseph Baslucita										17 s.	17 s.		1550	1550	1750	1750												2499				#syriaca-author 	Auteur	
3554	Justinian of Tours	Justinien de Tours (17 s.)	Justinien de Tours										17 s.	17 s.		1550	1550	1750	1750	Michel Fevre ou Febure, ميخايل			Michel Fevre				Michel Febure		ميخايل		2499				#syriaca-author 	auteur	
3556	Mark, bishop of Sakhā	Marc évêque de Sakhā.	Marc évêque de Sakhā																												2499				#syriaca-author 	traducteur	
3557	Michael of Amida	Michel d'Amid (avant 16 s.)	Michel d'Amid										avant 16 s.	avant 16 s.		1450	1450			ܡܝܟܐܝܠ	ܡܝܟܐܝܠ										2499				#syriaca-author 	Auteur	
3558	Michael, bishop of Tanis	Michel évêque de Tanis	Michel évêque de Tanis																												2499				#syriaca-author 	Auteur 	
3559	Mirijan the priest	Mirijan le prêtre	Mirijan le prêtre																	ܡܝܪܝܓܐܢ Evêque Athanase	ܡܝܪܝܓܐܢ 		Evêque Athanase	Evêque							2499				#syriaca-author 	Auteur	
3560	Mirza of Midun	Mirza de Midun	Mirza de Midun																	ܡܝܪܙܐ ܡܕܝܘܝܐ	ܡܝܪܙܐ ܡܕܝܘܝܐ										2499				#syriaca-author 	Auteur	
3561	Nazif Khazin	Nazif Khazin (fin 17 s.) 	Nazif Khazin										fin 17 s.	fin 17 s.		1625	1625	1675	1675	Prince des maronites du Mont Liban				Prince des maronites du Mont Liban							2499				#syriaca-author 	Auteur	
3562	Noah of Baqua	Noé de Baqupha 	Noé de Baqupha 																												2499	Paris, Bibliothèque nationale de France, syr. 180			#syriaca-author 	Auteur	cf. Paris BnF syr. 180
3563	Peter bar Thomas Katula	Peṭros bar Tawma Katula (19 s.)	Peṭros bar Tawma Katula										19 s.	19 s.		1750	1750	1950	1950	ܦܛܪܘܣ ܒܪ ܬܐܘܡܐ ܟܬܘܠܐ	ܦܛܪܘܣ ܒܪ ܬܐܘܡܐ ܟܬܘܠܐ										2499				#syriaca-author 	Auteur	
3564	Peter Severus al-Jamil, Coptic bishop of Malig	Pierre Al-Djamīl, surnommé Sévère, évêque copte de Malig	Pierre Al-Djamīl, surnommé Sévère, évêque copte de Malig																												2499				#syriaca-author 	Auteur	
3565	Prochorus	Prochore	Prochore																												2499				#syriaca-author 	Auteur	
3566	Pseudo-Prochorus	Pseudo-Prochore	Pseudo-Prochore																												2499				#syriaca-author 	Auteur	
3567	Pseudo-Nonnus	Pseudo-Nonnos	Pseudo-Nonnos																												2499				#syriaca-author 	Auteur	
3568	Llull, Ramon	Raymond Lulle (1232-1315)	Raymond Lulle			1315	1315	1315			1232	1232	1232-1315							ܪܐܝܡܘܢܕܘܤ	ܪܐܝܡܘܢܕܘܤ										2499				#syriaca-author 	Auteur	
3569	Rizqallah	Rizqallah	Rizqallah																	ܪܙܩܠܠܗ	ܪܙܩܠܠܗ										2499				#syriaca-author 	Auteur	
3570	Saʿid b. Batriq	Sa'id ibn Baṭriq (10 s.)	Sa'id ibn Baṭriq										10 s.	10 s.		850	0850	1050	1050	Eutychius ܣܥܝܕ ܐܒܢܒܛܪܝܩ	ܣܥܝܕ ܐܒܢܒܛܪܝܩ		Eutychius								2499	Paris, Bibliothèque nationale de France, syr. 204 [http://www.msscatalog.org/63627]			#syriaca-author 	Auteur	cf. Paris BnF syr. 204
3571	King Solomon	Salomon (roi)	Salomon																	ܣܠܝܡܐܢ	ܣܠܝܡܐܢ										2499				#syriaca-author 	Attribué à	Same pseudo-author as the author of Odes of Salomon, Psalms, Testament…
3573	Sergius of Amphiator	Sargis d'Amphiator	Sargis d'Amphiator																	ܣܪܓܝܣ, ܐܡܦܝܐܛܘܪ, Serge 	ܣܪܓܝܣ	ܐܡܦܝܐܛܘܪ	Serge								2499				#syriaca-author 	auteur	
3574	Sarkis, translator	Sarkis 	Sarkis 																	Serge   ܣܪܟܝܣ	ܣܪܟܝܣ		Serge								2499				#syriaca-author 	traducteur	
3576	Severus of Ashmunayin	Sévère d'Aschmounaïn 	Sévère d'Aschmounaïn 																												2499				#syriaca-author 	Auteur 	
3577	Simeon b. Khalil b. Maqara	Sim'an ibn Khalil ibn Maqara (12 s.) 	Sim'an ibn Khalil ibn Maqara										12 s.	12 s.		1050	1050	1250	1250												2499				#syriaca-author 	Auteur	
3578	Stéphani Aldoensis 	Stéphani Aldoensis 	Stéphani Aldoensis 																												2499				#syriaca-author 	Auteur	
3579	Theophilus	Théophile	Théophile																	ܬܐܸܘܿܦܝܼܠ݃ܐ	ܬܐܸܘܿܦܝܼܠ݃ܐ										2499				#syriaca-author 	Auteur	
3581	Thomas	Thomas 	Thomas 																	ܬܐܡܐ	ܬܐܡܐ										2499	Paris, Bibliothèque nationale de France, syr. 195 [http://www.msscatalog.org/63347]			#syriaca-author 	Auteur	cf. Paris BnF syr. 195
3582	Thomas à Kempis	Thomas a Kempis (14-15 s.)	Thomas a Kempis										14-15 s.	14-15 s.		1250	1250	1550	1550	ܬܘܡܐ ܕܟܡܒܝܣ	ܬܘܡܐ ܕܟܡܒܝܣ										2499				#syriaca-author 	Auteur	
3583	Thomas of Kafrṭāb	Thomas de Kfartab 	Thomas de Kfartab 																												2499	Paris, Bibliothèque nationale de France, syr. 225 [http://www.msscatalog.org/63850]			#syriaca-author 	Auteur	cf. Paris BnF syr. 225
3585	Timothy Isaac bar ʿBed Hayyo, maphrian	Ṭimotheos Isḥaq bar ‛Bed Ḥayyo (1643-1721)	Ṭimotheos Isḥaq bar ‛Bed Ḥayyo			1643	1643	1643			1721	1721	1643-1721							ܛܝܡܬܐܘܣ ܡܦܪܝܢܐ ܕܗܘ ܐܝܣܚܩ  Maphrien Timothée 	ܛܝܡܬܐܘܣ ܡܦܪܝܢܐ ܕܗܘ ܐܝܣܚܩ  		Maphrien Timothée	Maphrien							2499		642	28-29	#syriaca-author 	Auteur	Indentifié par MF, cf. Rudolf Macuch, Geschichte der spät- und neusyrischen Literatur, Berlin, De Gryuter 1976: 28-29
3587	Jacob	Ya'qub (19 s.)	Ya'qub										19 s.	19 s.		1750	1750	1950	1950	ܝܥܩܘܒ	ܝܥܩܘܒ										2499				#syriaca-author 	Auteur	
3588	Joseph, Maronite patriarch of Antioch	Yawsep (18 s.)	Yawsep										18 s.	18 s.		1650	1650	1850	1850	Joseph, Patriarche maronite d'Antioche, ܝܘܣܦ	ܝܘܣܦ		Joseph, Patriarche maronite d'Antioche	Patriarche maronite d'Antioche							2499				#syriaca-author 	Auteur	
3589	Joseph, bishop	Yawsep (avant 17 s.)	Yawsep										avant 17 s.	avant 17 s.				1700	1700	évêque Joseph  ܝܘܣܦ	ܝܘܣܦ		évêque Joseph	évêque							2499	Paris, Bibliothèque nationale de France, syr. 371 [http://www.msscatalog.org/64514]			#syriaca-author 	Auteur	cf. Paris BnF syr. 371
3590	Joseph	Yawsep (fin 17 s.)	Yawsep										fin 17 s.	fin 17 s.		1625	1625	1725	1725	Joseph  ܝܘܣܦ	ܝܘܣܦ		Joseph								2499				#syriaca-author 	Auteur /lecteur	
3591	Joseph Peter, patriarch of Antioch	Yawsep Peṭros (18 s.)	Yawsep Peṭros										18 s.	18 s.		1650	1650	1850	1850	Patriarche d'Antioche, Joseph, ܝܘܣܦ	ܝܘܣܦ		Patriarche d'Antioche, Joseph	Patriarche d'Antioche							2499				#syriaca-author 	Auteur	
3593	John al-Zurbabi of Damascus	Yuḥanna al-Zurbabi de Damas (17 s.)	Yuḥanna al-Zurbabi de Damas										17 s.	17 s.		1550	1550	1750	1750	ܝܘܚܢܐ ܐܠܙܪܒܐܒܝ	ܝܘܚܢܐ ܐܠܙܪܒܐܒܝ										2499				#syriaca-author 	Auteur / Copiste	
3594	John	Yuḥanon (après 12 s.)	Yuḥanon										après 12 s.	après 12 s.		1050	1050			ܝܘܚܢܢ  Jean	ܝܘܚܢܢ  		Jean								2499				#syriaca-author 	Auteur /lecteur	
3595	Joseph Abu al-Karam	Yussif Abu al-Karam	Yussif Abu al-Karam																	ܝܘܣܦJoseph 	ܝܘܣܦ		Joseph								2499	Paris, Bibliothèque nationale de France, syr. 403 [http://www.msscatalog.org/64836]			#syriaca-author 	Auteur 	cf. Paris BnF syr. 403
