	persName ektobe-headword.Source 1.fr	relation possibly-identical	death.Source 1.fr	death when.Source 1	death notBefore.Source 1	death notAfter.Source 1	birth.Source 1.fr	birth when.Source 1		floruit.Source 1.fr	floruit when.Source 1		floruit notBefore.Source 1		floruit notAfter.Source 1		persName syriaca-headword.Source 1.syr	persName.Source 1.syr	persName.Source 1.fr	state office.Source 1.fr	state office.Source 1.fr	note relation.Source 1.fr	persName.Source 1.fr	persName.Source 1.fr	persName.Source 1.ar	Source 1	citedRange entry.Source 1	Source 2	citedRange fol.Source 2	New URI	person ana		
Noms 	ektobe Headword (no date)	Possibly Identical?							extracted date							Formes usuelles	Formes usuelles (syriaque)	Formes usuelles (syriaque)	Formes usuelles (français)				Formes usuelles (français)	Formes usuelles (français)	Formes usuelles (arabe)					Syriaca ID		Rôles	Remarks for SYRIACA
Dioscore de Gazarta	Dioscore de Gazarta															ܕܝܘܣܩܘܪܘܣ	ܕܝܘܣܩܘܪܘܣ									2499	none			243	#syriaca-author 	auteur	
Élie de Nisibe (†1046)	Élie de Nisibe		†1046	1046					†1046							ܐܠܝܐ, ܐܠܻܝܴܐ ܡܰܛܪܳܘܦܳܘܠܝܻܛܳܘܤ ܕܨܵܘܒܲܐ Élie de Ṣoba	ܐܠܝܐ	ܐܠܻܝܴܐ ܡܰܛܪܳܘܦܳܘܠܝܻܛܳܘܤ ܕܨܵܘܒܲܐ	Élie de Ṣoba							2499	none			472	#syriaca-author 	Auteur	
Élie I (†1049)	Élie I		†1049	1049					†1049							Catholicos ܐܠܝܐ 	ܐܠܝܐ			Catholicos						2499	none			468	#syriaca-author 	Attribué à	
Enanišo' (7 s.)	Enanišo'								7 s.	7 s.		550	0550	750	0750	ܐܢܐܢܝܫܘܥ	ܐܢܐܢܝܫܘܥ									2499	none			474	#syriaca-author 	Auteur	
Éphrem le Syrien (†373) 	Éphrem le Syrien		†373	0373					†373							ܐܦܪܝܡ, ܐܦܪَܐܡ Éphrem de Nisibe 	ܐܦܪܝܡ	Éphrem de Nisibe								2499	none			13	#syriaca-author #syriaca-saint	Auteur / Attribué à / Saint	
Épiphane de Salamine	Épiphane de Salamine															ܐܦܝܦܐܢܝܘܣÉpiphane de Chypre    	ܐܦܝܦܐܢܝܘܣ	Épiphane de Chypre								2499	none			477	#syriaca-author 	Auteur	
Ésope	Ésope															 Josippon ܝܘܣܝܦܘܣ	ܝܘܣܝܦܘܣ		Josippon						 	2499	none			322	#syriaca-author 	Auteur 	
Étienne Douaihi (1630-1704) 	Étienne Douaihi		1704	1704			1630	1630	1630-1704							Patriarche maronite d'Antioche 			Patriarche maronite d'Antioche							2499	none			460	#syriaca-author 	Auteur	
Eusèbe de Césarée (ca.†340)	Eusèbe de Césarée		ca.†340		0325	0355			ca.†340							ܐܘܣܝܒܘܣ ܩܣܪܝܐ, ܐܣܒܝܣ	ܐܘܣܝܒܘܣ ܩܣܪܝܐ	ܐܣܒܝܣ								2499	none			480	#syriaca-author 	Attribué à	
Évagre le Pontique (†399)	Évagre le Pontique		†399	0399					†399							ܐܘܓܪܝܣ	ܐܘܓܪܝܣ									2499	none			483	#syriaca-author #syriaca-saint	Auteur / saint	
