New URI	Edition 1	citedRange entry.Edition 1		witnesses.Edition 1	Edition 2	citedRange vol.Edition 2	citedRange pp.Edition 2	MS 1	citedRange fol.MS 1	title syriaca-headword.Edition 1.en	title syriaca-headword.en	title.Edition 1.en	title abbreviation.en	title.en	title syriaca-headword.Edition 1.syr	title.MS 1.syr	author ref.Edition 1				relation dct---isPartOf.Edition 1	Translation 1	citedRange vol.Translation 1	lang.Translation 1
*** Syriaca Work ID	Syriac Corpus Bibl	Syriac Corpus Entry	Syriac Corpus URI	Witnesses of Syriac Corpus text	Transcribed Edition	Vols from transcribed edition (if relevant)	Pages from transcribed edition	Transcribed Manuscript	Manuscript Folios	English Title (Headword, Edition 1)	English Title (Headword, if different from Edition 1	English Title (Edition 1, if different from Headword)	English Abbreviation		Syriac Title (Headword, Edition 1)	Syriac Title (MS 1)	Author URI	Author Headword (not for export)	Is Part of Work URI	Number in Collection	Is Part of Work URI {number in collection}			
*** REQUIRED. Contains the new Syriaca.org URI to be assigned to each row.	bibl entry of Syriac Corpus in Syriaca.org	Entry title + [URI] (auto-generated)	Used to autogenerate citedRange entry.Edition 1	Names of columns containing ids of manuscripts, editions, etc. that are witnesses for this work. Separate multiple items with commas.	Use bibl URI (e.g., 2329 for Parisot)			Syriaca.org manuscript URI or shelfmark if there is no URI yet.	Folio numbers cited from MS 1	REQUIRED. (text) The display name used in Syriaca page titles, etc. Each row must have at least 1 cell with a "title syriaca-headword" value, in English ("en"), transliteration (e.g., "en-x-gedsh"), or Syriac ("syr"). This can have a source but doesn't have to. (See http://syriaca.org/exist/apps/srophe/documentation/headwords.html)					REQUIRED. (text) The display name used in Syriaca page titles, etc. Each row must have at least 1 cell with a "title syriaca-headword" value, in English ("en"), transliteration (e.g., "en-x-gedsh"), or Syriac ("syr"). This can have a source but doesn't have to. (See http://syriaca.org/exist/apps/srophe/documentation/headwords.html)	Syriac title according to source MS 1.	RECOMMENDED. (URI) The full Syriaca.org URI of the work author, according to Source 1. If there is more than 1 author from Source 1, duplicate this column.				OPTIONAL. (Syriaca.org URI) The URI of a Syriaca.org work which contains this work. Separate multiple URIs with commas. (If the URI contains commas [unlikely], replace them with "%2c".) The conversion automatically uses the value of the column name after "relation_" as the @ref of the <relation>, but currently only "possibly-identical" is defined in the column-mapping template. Triple-hyphens (---) in the @ref values are converted to colons (:) to allow prefixed namespaces. If the work should be assigned an order within the larger work, place the order number in { } after the containing work URI, separated by a space.			
8516	2331	Demonstration 14: On Exhortation [https://syriaccorpus.org/14]	https://syriaccorpus.org/14	Edition 2	2329		573-726			Demonstration 14: On Exhortation							http://syriaca.org/person/10	Aphrahat	http://syriaca.org/work/8501	15	http://syriaca.org/work/8501 {15}			
8517	2331	Demonstration 15: On the Distinction between Foods [https://syriaccorpus.org/15]	https://syriaccorpus.org/15	Edition 2	2329		727-758			Demonstration 15: On the Distinction between Foods							http://syriaca.org/person/10	Aphrahat	http://syriaca.org/work/8501	16	http://syriaca.org/work/8501 {16}			
8518	2331	Demonstration 16: On the Peoples in Place of the People [https://syriaccorpus.org/16]	https://syriaccorpus.org/16	Edition 2	2329		759-784			Demonstration 16: On the Peoples in Place of the People							http://syriaca.org/person/10	Aphrahat	http://syriaca.org/work/8501	17	http://syriaca.org/work/8501 {17}			
8519	2331	Demonstration 17: On the Messiah, who is the Son of God [https://syriaccorpus.org/17]	https://syriaccorpus.org/17	Edition 2	2329		785-816			Demonstration 17: On the Messiah, who is the Son of God							http://syriaca.org/person/10	Aphrahat	http://syriaca.org/work/8501	18	http://syriaca.org/work/8501 {18}			
8520	2331	Demonstration 18: Against the Jews, On Virginity and Holiness [https://syriaccorpus.org/18]	https://syriaccorpus.org/18	Edition 2	2329		817-844			Demonstration 18: Against the Jews, On Virginity and Holiness							http://syriaca.org/person/10	Aphrahat	http://syriaca.org/work/8501	19	http://syriaca.org/work/8501 {19}			
8521	2331	Demonstration 19: Against the Jews, because they say that they will be gathered together [https://syriaccorpus.org/19]	https://syriaccorpus.org/19	Edition 2	2329		845-892			Demonstration 19: Against the Jews, because they say that they will be gathered together							http://syriaca.org/person/10	Aphrahat	http://syriaca.org/work/8501	20	http://syriaca.org/work/8501 {20}			
8522	2331	Demonstration 20: On Care for the Poor [https://syriaccorpus.org/20]	https://syriaccorpus.org/20	Edition 2	2329		893-930			Demonstration 20: On Care for the Poor							http://syriaca.org/person/10	Aphrahat	http://syriaca.org/work/8501	21	http://syriaca.org/work/8501 {21}			
8523	2331	Demonstration 21: On Persecution [https://syriaccorpus.org/21]	https://syriaccorpus.org/21	Edition 2	2329		931-990			Demonstration 21: On Persecution							http://syriaca.org/person/10	Aphrahat	http://syriaca.org/work/8501	22	http://syriaca.org/work/8501 {22}			
8524	2331	Demonstration 22: On Death and the Last Times [https://syriaccorpus.org/22]	https://syriaccorpus.org/22	Edition 2	2329		991-1050			Demonstration 22: On Death and the Last Times							http://syriaca.org/person/10	Aphrahat	http://syriaca.org/work/8501	23	http://syriaca.org/work/8501 {23}			
8525	2331	Demonstration 23: On the Grapecluster [https://syriaccorpus.org/23]	https://syriaccorpus.org/23	Edition 2	2330		1-150			Demonstration 23: On the Grapecluster							http://syriaca.org/person/10	Aphrahat	http://syriaca.org/work/8501	24	http://syriaca.org/work/8501 {24}			
