title syriaca-headword.en		New URI	relation skos---broadMatch		Edition 1	witnesses.Edition 1	title syriaca-headword.Edition 1.syr	title.Edition 1.syr	title.Edition 1.syr-Syrj	title.Edition 1.syr	note prologue.Edition 1.syr	title final-rubric.Edition 1.syr	title.Edition 2.syr	Edition 2		idno URI	idno URI	idno URI	idno URI	idno URI	citedRange pp.Edition 1			Source 1	title abbreviation.Source 1.en	title abbreviation.Source 1.en	title.Source 1.en	title.Source 1.en	title.Source 1.en	Edition 3	witnesses.Edition 3	citedRange entry.Edition 3	Edition 4	note prologue.Edition 4.syr	witnesses.Edition 4	title.Edition 4.syr	title.Edition 4.syr	note incipit.Edition 4.syr		citedRange entry.Edition 4	citedRange entry.Edition 4		citedRange verse.Edition 4	Edition 5	witnesses.Edition 5	citedRange entry.Edition 5	citedRange pp.Edition 5			Source 2	Ms 1	citedRange vol.Ms 1	citedRange fol.Ms 1	Ms 2	citedRange fol.Ms 2	Ms 3	Edition 6	title.Edition 6.syr	citedRange pp.Edition 6	witnesses.Edition 6	Edition 7	citedRange pp.Edition 7	Edition 8	citedRange pp.Edition 8	witnesses.Edition 8	title.Edition 8.syr-Syrj	note prologue.Edition 8.syr-Syrj	Edition 9	citedRange vol.Edition 9	Edition 0	witnesses.Edition 0	Source 3	Source 4	Apparatus 1	citedRange vol.Apparatus 1	citedRange pp.Apparatus 1	Apparatus 2	citedRange vol.Apparatus 2	citedRange pp.Apparatus 2	Catalogue 1	citedRange pp.Catalogue 1	Catalogue 2
***Headword	Syriaca URI	Syriaca ID	In Literary Tradition	UBS Order	UBS bibl	UBS witnesses	Syriac Name (UBS)	Alternate Syriac Name (UBS)	Alternate Syriac Name Vocalized (UBS)	Alternate Syriac Name (UBS)	Rubric (UBS)	Final Rubric (UBS)		Antioch Bible bibl	English Name (Wikipedia)		Wikidata	VIAF URI				Start page in UBS	End page in UBS	SBL Handbook	SBL Abbreviation	SBL Alternate Abbreviation	SBL Title	SBL Alternate Title	SBL Alternate Title	Leiden Electronic Peshitta			CAL					CAL Incipit	CAL ID		CAL Title	CAL Link						OCP Title	OCP Link	Abdisho/Assemani							Lagarde/Other				Lee 1823			Lee 1826				Mosul Edition		Leiden Print			Leiden Preface									
Esther (Peshitta Version)	http://syriaca.org/work/17	17	9534	20	2335	Edition 7	ܣܦܪܐ ܕܐܣܬܝܪ	ܟܬܒܐ ܕܐܣܬܝܪ							Esther	https://en.wikipedia.org/wiki/Book_of_Esther	https://www.wikidata.org/wiki/Q131068				483-490	483	490	2432	Esth		Esther			2438	Ms 1	Esther	2439					ܘܗܼܘܐ ܒܝܘ̈ܡܘܗܝ ܕܐܚܫܝܪܫ ܗܿܘ ܒܪܗ ܕܐܚܫܝܪܫ ܕܐܡܠܟ ܡܢ ܗܘܕ܂ ܘܥܕܡܐ ܠܟܘܫ܂ ܥܠ ܡ̈ܐܐ ܘܥܣܪ̈ܝܢ ܡܕ̈ܝܢܢ܂	62034	62034 [http://cal1.cn.huc.edu/showsubtexts.php?subtext=62034&cset=USyriac]	P Esth	http://cal1.cn.huc.edu/showsubtexts.php?subtext=62034&cset=USyriac									Milan, Ambrosian Library, B. 21. Inf. (7a1)										2346	483-490	2381	483-490	Edition 7			2443	1	2426	Ms 1		2387									2442
Ezra (Peshitta Version)	http://syriaca.org/work/15	15	9532	21	2335	Edition 7	ܣܦܪܐ ܕܥܙܪܐ ܢܒܝܐ	ܟܬܒܐ ܕܥܙܪܐ ܢܒܝܐ							Ezra	https://en.wikipedia.org/wiki/Book_of_Ezra	https://www.wikidata.org/wiki/Q131635				490-500	490	500	2432	Ezra		Ezra			2438	Ms 1	Ezra	2439		Edition 3			ܒܫܢܬ ܚܕܐ ܠܟܘܪܫ ܡܠܟܐ ܕܦܪܣ܃ ܠܫܘܠܡ ܦܬܓܡܗ ܕܡܪܝܐ ܡܢ ܦܬܓܡܗ ܕܐܪܡܝܐ ܢܒܝܐ܃ ܐܥܝܪ ܡܪܝܐ ܪܘܚܗ ܕܡܿܠܟܐ ܕܦܪܣ܃ ܘܐܥܒܪ ܩܠܐ ܒܟܠܗܿ ܡܠܟܘܬܗ ܘܐܦ ܒܟܬܒܐ ܐܡܼܪ܂	62036	62036 [http://cal1.cn.huc.edu/showsubtexts.php?subtext=62036&cset=USyriac]	P Ezra	http://cal1.cn.huc.edu/showsubtexts.php?subtext=62036&cset=USyriac									Milan, Ambrosian Library, B. 21. Inf. (7a1)										2346	490-500	2381	490-500	Edition 7			2443	1	2417	Ms 1		2387									2442
Nehemiah (Peshitta Version)	http://syriaca.org/work/16	16	9533	22	2335	Edition 7	ܣܦܪܐ ܕܢܚܡܝܐ		ܢܚܰܡܝܳܐ						Nehemiah	https://en.wikipedia.org/wiki/Book_of_Nehemiah	https://www.wikidata.org/wiki/Q131640	https://viaf.org/viaf/37711593			500-513	500	513	2432	Neh		Nehemiah			2438	Ms 1	Nehemiah	2439		Edition 3			ܘܗܼܘܐ ܒܝܪܚ ܟܢܘܢ ܒܫܢܬ ܥܣܪܝܢ܂ ܐܢܐ ܩܐܿܡ ܗܿܘܝܬ ܒܫܘܫܢ ܒܝܪܬܐ܂	62037	62037 [http://cal1.cn.huc.edu/showsubtexts.php?subtext=62037&cset=USyriac]	P Neh	http://cal1.cn.huc.edu/showsubtexts.php?subtext=62037&cset=USyriac									Milan, Ambrosian Library, B. 21. Inf. (7a1)										2346	500-513	2381	500-513	Edition 7			2443	1	2417	Ms 1		2387									2442
Isaiah (Peshitta Version)	http://syriaca.org/work/23	23	9640	23	2335	Edition 7	ܣܦܪܐ ܕܐܫܥܝܐ ܒܪ ܐܡܘܨ	ܢܒܝܘܬܗ ܕܐܫܥܝܐ ܒܪ ܐܡܘܨ					ܣܦܪܐ ܕܐܫܥܝܐ ܢܒܝܐ	2444	Isaiah	https://en.wikipedia.org/wiki/Book_of_Isaiah	https://www.wikidata.org/wiki/Q131458	https://viaf.org/viaf/185867018			513-556	513	556	2432	Isa		Isaiah			2438	Ms 1	Isaiah	2439		Edition 3			ܚܙܘܐ ܕܐܫܥܝܐ ܒܪ ܐܡܘܨ܃ ܕܚܙܐ ܥܠ ܝܗܘܕܐ ܘܥܠ ܐܘܪܫܠܡ܃ ܒܝ̈ܘܡܝ ܥܘܙܝܐ ܘܝܘܬܡ܃ ܘܐܚܙ ܘܚܙܩܝܐ ܡ̈ܠܟܐ ܕܝܗܘܕܐ܀܀	62012	62012 [http://cal1.cn.huc.edu/showsubtexts.php?subtext=62012&cset=USyriac]	P Is	http://cal1.cn.huc.edu/showsubtexts.php?subtext=62012&cset=USyriac									Milan, Ambrosian Library, B. 21. Inf. (7a1)										2346	513-556	2381	513-556	Edition 7			2443	2	2404	Ms 1		2387									2442
Hosea (Peshitta Version)	http://syriaca.org/work/28	28	9646	24	2335	Edition 7	ܣܦܪܐ ܕܗܘܫܥ ܢܒܝܐ	ܢܒܝܘܬܗ ܕܗܘܫܥ ܢܒܝܐ						2359	Hosea	https://en.wikipedia.org/wiki/Book_of_Hosea	https://www.wikidata.org/wiki/Q184030	https://viaf.org/viaf/183467032	https://viaf.org/viaf/180609249		556-562	556	562	2432	Hos		Hosea			2438	Ms 1	Hosea	2439		Edition 3, Apparatus 1, Edition 9			 ܦܬܓܡܗ ܕܡܪܝܐ ܕܗܘܐ ܥܠ ܗܘܫܥ ܒܪ ܒܪܝ܂ ܒܝ̈ܘܡܘܗܝ ܕܥܘܙܝܐ ܘܕܝܘܬܡ ܘܕܐܚܙ ܘܕܚܙܩܝܐ ܡ̈ܠܟܐ ܕܝܗܘܕܐ܂ ܘܒܝ̈ܘܡܘܗܝ ܕܝܘܪܒܥܡ ܒܪ ܝܘܐܫ ܡܠܟܐ ܕܐܝܣܪܐܝܠ܂	62015	62015 [http://cal1.cn.huc.edu/showsubtexts.php?subtext=62015&cset=USyriac]	P Ho	http://cal1.cn.huc.edu/showsubtexts.php?subtext=62015&cset=USyriac									Milan, Ambrosian Library, B. 21. Inf. (7a1)										2346	556-562	2381	556-562	Edition 7			2443	2	2406	Ms 1		2387	2382		94-95						2442
Joel (Peshitta Version)	http://syriaca.org/work/29	29	9546	25	2335	Edition 7	ܣܦܪܐ ܕܝܘܝܠ ܢܒܝܐ	ܢܒܝܘܬܗ ܕܝܘܐܝܠ ܢܒܝܐ			ܬܘܒ ܢܒܝܘܬܗ ܕܝܘܐܝܠ ܢܒܝܐ			2359	Joel	https://en.wikipedia.org/wiki/Book_of_Joel	https://www.wikidata.org/wiki/Q131643	https://viaf.org/viaf/211142694	https://viaf.org/viaf/176216021		562-564	562	564	2432	Joel		Joel			2438	Ms 1	Joel	2439		Edition 3, Apparatus 1			ܦܬܓܡܗ ܕܡܪܝܐ ܕܗܘܐ ܥܠ ܝܘܐܝܠ ܒܪ ܒܬܘܐܝܠ܂	62016	62016 [http://cal1.cn.huc.edu/showsubtexts.php?subtext=62016&cset=USyriac]	P Joel	http://cal1.cn.huc.edu/showsubtexts.php?subtext=62016&cset=USyriac									Milan, Ambrosian Library, B. 21. Inf. (7a1)										2346	562-564	2381	562-564	Edition 7			2443	2	2406	Ms 1		2387	2382		96						2442
Amos (Peshitta Version)	http://syriaca.org/work/30	30	9547	26	2335	Edition 7	ܣܦܪܐ ܕܥܡܘܣ ܢܒܝܐ	ܢܒܝܘܬܗ ܕܥܡܘܣ						2359	Amos	https://en.wikipedia.org/wiki/Book_of_Amos	https://www.wikidata.org/wiki/Q174677	https://viaf.org/viaf/183065024			564-569	564	569	2432	Amos		Amos			2438	Ms 1	Amos	2439		Edition 3, Apparatus 1			 ܦܬ̈ܓܡܘܗܝ ܕܥܡܘܣ ܕܗܘܐ ܡܢ ܢܩ̈ܕܐ ܕܒ̈ܢܝ ܬܩܘܥ܂ ܕܚܙܐ ܥܠ ܒܢ̈ܝ ܐܝܣܪܝܠ܂ ܒܝ̈ܘܡܘܗܝ ܕܥܘܙܝܐ ܡܠܟܐ ܕܝܗܘܕܐ܂ ܘܒܝ̈ܘܡܘܗܝ ܕܝܘܪܒܥܡ ܒܪ ܝܘܐܫ ܡܠܟܐ ܕܐܝܣܪܐܝܠ܂ ܬܪ̈ܬܝܢ ܫ̈ܢܝܢ ܡܢ ܩܕܡ ܙܘܥܐ܂	62017	62017 [http://cal1.cn.huc.edu/showsubtexts.php?subtext=62017&cset=USyriac]	P Am	http://cal1.cn.huc.edu/showsubtexts.php?subtext=62017&cset=USyriac									Milan, Ambrosian Library, B. 21. Inf. (7a1)										2346	564-569	2381	564-569	Edition 7			2443	2	2406	Ms 1		2387	2382		94						2442
Obadiah (Peshitta Version)	http://syriaca.org/work/31	31	9548	27	2335	Edition 7	ܣܦܪܐ ܕܥܘܒܕܝܐ ܢܒܝܐ	ܢܒܝܘܬܗ ܕܥܘܒܕܝܐ ܢܒܝܐ			ܬܘܒ ܢܒܝܘܬܗ ܕܥܘܒܕܝܐ ܢܒܝܐ			2359	Obadiah	https://en.wikipedia.org/wiki/Book_of_Obadiah	https://www.wikidata.org/wiki/Q174753	https://viaf.org/viaf/184209830	https://viaf.org/viaf/181846225	https://viaf.org/viaf/211772822	569-570	569	570	2432	Obad		Obadiah			2438	Ms 1	Obadiah	2439	ܬܘܒ ܢܒܝܘܬܗ ܕܥܘܒܕܝܐ܂	Edition 3			ܚܙܘܐ ܕܥܘܒܕܝܐ܂ ܗܟܢܐ ܐܡܪ ܡܪܐ ܡܪ̈ܘܬܐ ܠܐܕܘܡ܂ ܛܒܐ ܫܡܥܢ ܡܢ ܩܕܡ ܡܪܝܐ ܘܐܝܙܓܕܐ ܠܥܡ̈ܡܐ ܐܫܬܠܚ܂ ܩܘܡܘ ܘܢܩܘܡ ܥܠܝܗܿ ܠܩܪܒܐ܂	62018	62018 [http://cal1.cn.huc.edu/get_a_chapter.php?file=62018&cset=U]	P Ob	http://cal1.cn.huc.edu/get_a_chapter.php?file=62018&cset=U									Milan, Ambrosian Library, B. 21. Inf. (7a1)										2346	569-570	2381	569-570	Edition 7			2443	2	2406	Ms 1		2387									2442
Jonah (Peshitta Version)	http://syriaca.org/work/9714	9714	9715	28	2335	Edition 7	ܣܦܪܐ ܕܝܘܢܢ ܢܒܝܐ	ܢܒܝܘܬܗ ܕܝܘܢܢ ܢܒܝܐ			ܬܘܒ ܢܒܝܘܬܗ ܕܝܘܢܢ ܢܒܝܐ			2359	Jonah	https://en.wikipedia.org/wiki/Book_of_Jonah	https://www.wikidata.org/wiki/Q178819	https://viaf.org/viaf/213145294	https://viaf.org/viaf/183065974		570-572	570	572	2432	Jonah		Jonah			2438	Ms 1	Jonah	2439		Edition 3, Apparatus 1			ܘܗܘܐ ܦܬܓܡܐ ܕܡܪܝܐ ܥܠ ܝܘܢܢ ܒܪ ܡܬܝ ܠܡܐܡܪ܂	62019	62019 [http://cal1.cn.huc.edu/showsubtexts.php?subtext=62019&cset=USyriac]	P Jonah	http://cal1.cn.huc.edu/showsubtexts.php?subtext=62019&cset=USyriac									Milan, Ambrosian Library, B. 21. Inf. (7a1)										2346	570-572	2381	570-572	Edition 7			2443	2	2406	Ms 1		2387	2382		94						2442
Micah (Peshitta Version)	http://syriaca.org/work/32	32	9549	29	2335	Edition 7	ܣܦܪܐ ܕܡܝܟܐ ܢܒܝܐ	ܢܒܝܘܬܗ ܕܡܝܟܐ ܢܒܝܐ			ܬܘܒ ܢܒܝܘܬܗ ܕܡܝܟܐ ܢܒܝܐ			2359	Micah	https://en.wikipedia.org/wiki/Book_of_Micah	https://www.wikidata.org/wiki/Q178076	https://viaf.org/viaf/180230104	https://viaf.org/viaf/316742707		572-576	572	576	2432	Mic		Micah			2438	Ms 1	Micah	2439		Edition 3, Apparatus 1			ܦܬܓܡܐ ܕܡܪܝܐ ܕܗܘܐ ܥܠ ܡܝܟܐ ܡܐܪܫܝܐ܂ ܒܝ̈ܘܡܘܗܝ ܕܝܘܬܡ ܘܕܐܚܙ ܘܕܚܙܩܝܐ ܡ̈ܠܟܐ ܕܝܗܘܕܐ܂ ܕܚܙܐ ܥܠ ܫܡܪܝܢ ܘܥܠ ܐܘܪܫܠܡ܂	62020	62020 [http://cal1.cn.huc.edu/showsubtexts.php?subtext=62020&cset=USyriac]	P Mi	http://cal1.cn.huc.edu/showsubtexts.php?subtext=62020&cset=USyriac									Milan, Ambrosian Library, B. 21. Inf. (7a1)										2346	572-576	2381	572-576	Edition 7			2443	2	2406	Ms 1		2387	2382		96						2442
Nahum (Peshitta Version)	http://syriaca.org/work/33	33	9550	30	2335	Edition 7	ܣܦܪܐ ܕܢܚܘܡ ܢܒܝܐ	ܢܒܝܘܬܗ ܕܢܚܘܡ ܢܒܝܐ			ܬܘܒ ܢܒܝܘܬܗ ܕܢܚܘܡ ܢܒܝܐ			2359	Nahum	https://en.wikipedia.org/wiki/Book_of_Nahum	https://www.wikidata.org/wiki/Q179755	https://viaf.org/viaf/186314968	https://viaf.org/viaf/182637061	https://viaf.org/viaf/178962161	576-577	576	577	2432	Nah		Nahum			2438	Ms 1	Nahum	2439		Edition 3, Edition 9, Apparatus 2, Apparatus 1			ܡܚܘܬܐ ܕܢܝܢܘܐ ܕܒܣܦܪܐ ܕܚ̈ܙܘܢܐ ܕܢܚܘܡ ܐܠܩܘܫܝܐ܂	62021	62021 [http://cal1.cn.huc.edu/showsubtexts.php?subtext=62021&cset=USyriac]	P Na	http://cal1.cn.huc.edu/showsubtexts.php?subtext=62021&cset=USyriac									Milan, Ambrosian Library, B. 21. Inf. (7a1)										2346	576-577	2381	576-577	Edition 7			2443	2	2406	Ms 1		2387	2382		94-97	2383	1	511			2442
Habakkuk (Peshitta Version)	http://syriaca.org/work/34	34	9551	31	2335	Edition 7	ܣܦܪܐ ܕܚܒܩܘܩ ܢܒܝܐ	ܢܒܝܘܬܗ ܕܚܒܩܘܩ			ܬܘܒ ܢܒܝܘܬܗ ܕܚܒܩܘܩ			2359	Habbakuk	https://en.wikipedia.org/wiki/Book_of_Habakkuk	https://www.wikidata.org/wiki/Q179760	https://viaf.org/viaf/177827389	https://viaf.org/viaf/179804577		577-579	577	579	2432	Hab		Habakkuk			2438	Ms 1	Habakkuk	2439		Edition 3, Apparatus 1			ܚܙܘܐ ܕܚܙܐ ܚܒܩܘܩ ܢܒܝܐ܂	62022	62022 [http://cal1.cn.huc.edu/showsubtexts.php?subtext=62022&cset=USyriac]	P Hab	http://cal1.cn.huc.edu/showsubtexts.php?subtext=62022&cset=USyriac									Milan, Ambrosian Library, B. 21. Inf. (7a1)										2346	577-579	2381	577-579	Edition 7			2443	2	2406	Ms 1		2387	2382		94, 96						2442
Zephaniah (Peshitta Version)	http://syriaca.org/work/35	35	9552	32	2335	Edition 7	ܣܦܪܐ ܕܨܦܢܝܐ ܢܒܝܐ	ܢܒܝܘܬܗ ܕܨܦܢܝܐ ܢܒܝܐ			ܬܘܒ ܢܒܝܘܬܗ ܕܨܦܢܝܐ ܢܒܝܐ			2359	Zephaniah	https://en.wikipedia.org/wiki/Book_of_Zephaniah	https://www.wikidata.org/wiki/Q188563	https://viaf.org/viaf/177424410	https://viaf.org/viaf/316744693		579-581	579	581	2432	Zeph		Zephaniah			2438	Ms 1	Zephaniah	2439		Edition 3			ܦܬܓܡܗ ܕܡܪܝܐ ܕܗܘܐ ܥܠ ܨܦܢܝܐ ܒܪ ܟܘܫܝ܂ ܒܪ ܓܕܠܝܐ ܒܪ ܐܡܪܝܐ ܒܪܗ ܕܚܠܩܝܐ܂ ܒܝ̈ܘܡܬܗ ܕܝܘܫܝܐ ܒܪ ܐܡܘܢ ܡܠܟܐ ܕܝܗܘܕܐ܂	62023	62023 [http://cal1.cn.huc.edu/showsubtexts.php?subtext=62023&cset=USyriac]	P Zep	http://cal1.cn.huc.edu/showsubtexts.php?subtext=62023&cset=USyriac									Milan, Ambrosian Library, B. 21. Inf. (7a1)										2346	579-581	2381	579-581	Edition 7			2443	2	2406	Ms 1		2387									2442
Haggai (Peshitta Version)	http://syriaca.org/work/36	36	9553	33	2335	Edition 7	ܣܦܪܐ ܕܚܓܝ ܢܒܝܐ	ܢܒܝܘܬܗ ܕܚܓܝ ܢܒܝܐ			ܬܘܒ ܢܒܝܘܬܗ ܕܚܓܝ ܢܒܝܐ			2359	Haggai	https://en.wikipedia.org/wiki/Book_of_Haggai	https://www.wikidata.org/wiki/Q178338	https://viaf.org/viaf/185495533	https://viaf.org/viaf/182230336		581-583	581	583	2432	Hag		Haggai			2438	Ms 1	Haggai	2439		Edition 3			ܒܫܢܬ ܬܪ̈ܬܝܢ ܕܕܪܝܘܫ ܡܠܟܐ܂ ܒܝܪܚܐ ܫܬܝܬܝܐ ܒܚܕ ܒܝܪܚܐ܂ ܗܘܐ ܦܬܓܡܗ ܕܡܪܝܐ ܒܝܕ ܚܓܝ ܢܒܝܐ܂ ܥܠ ܙܘܪܒܒܠ ܒܪ ܫܠܬܐܝܠ ܪܒܐ ܕܝܗܘܕܐ܂ ܘܥܠ ܝܫܘܥ ܒܪ ܝܘܙܕܩ ܟܗܢܐ ܪܒܐ ܠܡܐܡܪ܂	62024	62024 [http://cal1.cn.huc.edu/showsubtexts.php?subtext=62024&cset=USyriac]	P Hag	http://cal1.cn.huc.edu/showsubtexts.php?subtext=62024&cset=USyriac									Milan, Ambrosian Library, B. 21. Inf. (7a1)										2346	581-583	2381	581-583	Edition 7			2443	2	2406	Ms 1		2387									2442
Zechariah (Peshitta Version)	http://syriaca.org/work/37	37	9554	34	2335	Edition 7	ܣܦܪܐ ܕܙܟܪܝܐ ܢܒܝܐ	ܢܒܝܘܬܗ ܕܙܟܪܝܐ ܢܒܝܐ			ܬܘܒ ܢܒܝܘܬܗ ܕܙܟܪܝܐ ܢܒܝܐ			2359	Zechariah	https://en.wikipedia.org/wiki/Book_of_Zechariah	https://www.wikidata.org/wiki/Q179769	https://viaf.org/viaf/186702507	https://viaf.org/viaf/195940988	https://viaf.org/viaf/179401582	583-590	583	590	2432	Zech		Zechariah			2438	Ms 1	Zechariah	2439		Edition 3, Apparatus 1, Ms 1			ܒܝܪܚܐ ܕܬܡܢܝܐ ܒܚܕ ܒܝܪܚܐ܂ ܒܫܢܬ ܬܪ̈ܬܝܢ ܕܕܪܝܘܫ܂ ܗܘܐ ܦܬܓܡܗ ܕܡܪܝܐ ܥܠ ܙܟܪܝܐ ܒܪ ܒܪܟܝܐ ܒܪ ܥܕܘ ܢܒܝܐ ܠܡܐܡܪ܂	62025	62025 [http://cal1.cn.huc.edu/showsubtexts.php?subtext=62025&cset=USyriac]	P Ze	http://cal1.cn.huc.edu/showsubtexts.php?subtext=62025&cset=USyriac									Milan, Ambrosian Library, B. 21. Inf. (7a1)										2346	583-590	2381	583-590	Edition 7			2443	2	2406	Ms 1		2387	2382		96-97						2442
Malachi (Peshitta Version)	http://syriaca.org/work/38	38	9555	35	2335	Edition 7	ܣܦܪܐ ܕܡܠܐܟܝ ܢܒܝܐ	ܢܒܝܘܬܗ ܕܡܠܐܟܝ̣ ܢܒܝܐ			ܬܘܒ ܢܒܝܘܬܗ ܕܡܠܐܟܝ̣ ܢܒܝܐ			2359	Malachi	https://en.wikipedia.org/wiki/Book_of_Malachi	https://www.wikidata.org/wiki/Q51675	https://viaf.org/viaf/192637637	https://viaf.org/viaf/178594400		590-593	590	593	2432	Mal		Malachi			2438	Ms 1	Malachi	2439		Edition 3			ܚܙܘܐ ܕܦܬܓܡ̈ܘܗܝ ܕܡܪܝܐ ܥܠ ܐܝܣܪܝܠ ܒܝܕ ܡܠܐܟܝ܂	62026	62026 [http://cal1.cn.huc.edu/showsubtexts.php?subtext=62026&cset=USyriac]	P Ma	http://cal1.cn.huc.edu/showsubtexts.php?subtext=62026&cset=USyriac									Milan, Ambrosian Library, B. 21. Inf. (7a1)										2346	590-593	2381	590-593	Edition 7			2443	2	2406	Ms 1		2387									2442
Jeremiah (SBL) 	http://syriaca.org/work/24	24	9568	36	2335	Edition 7	ܣܦܪܐ ܕܐܪܡܝܐ ܢܒܝܐ	ܢܒܝܘܬܗ ܕܐܪܡܝܐ ܢܒܝܐ					ܣܦܪܐ ܕܐܪܡܝܐ ܢܒܝܐ	2361	Jeremiah	https://en.wikipedia.org/wiki/Book_of_Jeremiah	https://www.wikidata.org/wiki/Q131590	https://viaf.org/viaf/184659808	https://viaf.org/viaf/176172762		593-643	593	643	2432	Jer		Jeremiah			2438	Ms 1	Jeremiah	2439	ܬܘܒ ܟܬܒܐ ܐܚܪܢܐ ܕܐܪܡܝܐ ܢܒܝܐ܃	Edition 3			ܦܬ̈ܓܡܘܗܝ ܕܐܪܡܝܐ ܒܪ ܚܠܩܝܐ܂ ܡܢ ܟܗ̈ܢܐ ܕܒܥܢܬܘܬ ܕܒܐܪܥܐ ܕܒܢܝܡܝܢ܂	62013	62013 [http://cal1.cn.huc.edu/showsubtexts.php?subtext=62013&cset=USyriac]	P Je	http://cal1.cn.huc.edu/showsubtexts.php?subtext=62013&cset=USyriac									Milan, Ambrosian Library, B. 21. Inf. (7a1)										2346	593-643	2381	593-643	Edition 7			2443	2	2419	Ms 1		2387									2442
Lamentations (Peshitta Version)	http://syriaca.org/work/25	25	9542	37	2335	Edition 7	ܣܦܪܐ ܕܐܘ̈ܠܝܬܗ ܪܐܪܡܝܐ ܢܒܝܐ						ܐܘܠܝ̈ܬܐ ܕܐܪܡܝܐ	2363	Lamentations	https://en.wikipedia.org/wiki/Book_of_Lamentations	https://www.wikidata.org/wiki/Q179058				643-647	643	647	2432	Lam		Lamentations			2438	Ms 1	Lamentations	2439		Edition 6, Edition 5			ܐܝܟܢܐ ܝܬܒܬ ܒܠܚܘܕܝܗܿ ܡܕܝܢܬܐ ܣܓܝܐܬ ܒܥܡܐ܂ ܗܘܬ ܐܝܟ ܐܪܡܠܬܐ ܣܓܝܐܬ ܒܥܡ̈ܡܐ܂ ܪܝܫܐ ܕܡܕܝ̈ܢܬܐ ܗܘܬ ܠܡܕܐܬܐ܀	62033	62033 [http://cal1.cn.huc.edu/showsubtexts.php?subtext=62033&cset=USyriac]	P Lam	http://cal1.cn.huc.edu/showsubtexts.php?subtext=62033&cset=USyriac		2384			41-54				Milan, Ambrosian Library, B. 21. Inf. (7a1)						2380			Edition 7	2346	643-647	2381	643-647	Edition 7			2443	2	2420	Ms 1		2387									2442
Prayer of Jeremiah (Peshitta Version)	http://syriaca.org/work/52	52	9569		2335	Edition 7							ܨܠܘܬܐ ܕܐܪܡܝܐ	2363							647-647	647	647							2438	Ms 1		2439		Edition 6, Edition 5			ܐܬܕܟܪ ܡܪܝܐ ܡܢܐ ܗܘܐ ܠܢ܂ ܚܘܪ ܘܚܙܝ ܚܣܕܢ܀	62033.05	62033.05 [http://cal1.cn.huc.edu/get_a_chapter.php?file=62033&sub=05&cset=U]	P Lam chapter 5	http://cal1.cn.huc.edu/get_a_chapter.php?file=62033&sub=05&cset=U									Milan, Ambrosian Library, B. 21. Inf. (7a1)										2346	647-647	2381	647-647	Edition 7			2443	2				2387									2442
Ezekiel (Peshitta Version)	http://syriaca.org/work/26	26	9621	38	2335	Edition 7	ܣܦܪܐ ܕܚܙܩܝܐܠ ܢܒܝܐ	ܟܬܒܐ ܕܢܒܝܘܬܗ ܕܚܙܩܝܐܠ ܢܒܝܐ			ܬܘܒ ܟܬܒܐ ܕܢܒܝܘܬܗ ܕܚܙܩܝܐܠ ܢܒܝܐ		ܣܦܪܐ ܕܚܙܩܝܐܠ ܢܒܝܐ	2372	Ezekiel	https://en.wikipedia.org/wiki/Book_of_Ezekiel	https://www.wikidata.org/wiki/Q178390	https://viaf.org/viaf/176193843			647-691	647	691	2432	Ezek		Ezekiel			2438	Ms 1	Ezekiel	2439		Edition 3			ܘܗܘܐ ܒܫܢܬ ܬܠܬܝܢ ܒܚܡܫܬܐ ܒܝܪܚܐ ܪܒܝܥܝܐ܂ ܘܐܢܐ ܒܓܘ ܫܒܝܬܐ ܗܿܘܝܬ ܥܠ ܢܗܪ`ܟܒܪ܂ ܘܐܬܦܬܚܘ ܫܡܝܐ܂ ܘܚܿܙܝܬ ܚܙܘܐ ܕܐܠܗܐ܂	62014	62014 [http://cal1.cn.huc.edu/showsubtexts.php?subtext=62014&cset=USyriac]	P Ez	http://cal1.cn.huc.edu/showsubtexts.php?subtext=62014&cset=USyriac									Milan, Ambrosian Library, B. 21. Inf. (7a1)										2346	647-691	2381	647-691	Edition 7			2443	2	2405	Ms 1		2387									2442
Daniel (SBL)	http://syriaca.org/work/27	27	9570	39	2335	Edition 7	ܣܦܪܐ ܕܕܢܝܐܠ ܢܒܝܐ	ܢܒܝܘܬܗ ܕܕܢܝܐܠ ܢܒܝܐ			ܬܘܒ ܢܒܝܘܬܗ ܕܕܢܝܐܠ ܢܒܝܐ		ܣܦܪܐ ܕܕܢܝܐܠ ܢܒܝܐ	2373	Daniel	https://en.wikipedia.org/wiki/Book_of_Daniel	https://www.wikidata.org/wiki/Q80115				691-705	691	705	2432	Dan		Daniel			2438	Ms 1	Daniel																			Milan, Ambrosian Library, B. 21. Inf. (7a1)										2346	691-705	2381	691-705	Edition 7					2407	Ms 1		2387									2442
