New URI	title syriaca-headword.en		title syriaca-headword.Edition 1.syr	Corresponding work	Corresponding Work URI	idno URI	idno URI	idno URI	idno URI	idno URI
9555	Malachi (literary tradition)		ܣܦܪܐ ܕܡܠܐܟܝ ܢܒܝܐ	38	http://wwwb.library.vanderbilt.edu/work/38	https://en.wikipedia.org/wiki/Book_of_Malachi	https://www.wikidata.org/wiki/Q51675	https://viaf.org/viaf/192637637	https://viaf.org/viaf/178594400	
9558	2 Esdras (4 Ezra) (literary tradition)		ܟܬܒܐ ܕܥܙܪܐ ܣ̇ܦܪܐ. ܕܡܬܩܪܐ ܫܠܐܬܐܝܠ.	41	http://wwwb.library.vanderbilt.edu/work/41	https://en.wikipedia.org/wiki/2_Esdras	https://www.wikidata.org/wiki/Q230150			
9562	The Two Books of Kings (literary tradition)		ܣܦܪ ܡ̈ܠܟܐ	45	http://wwwb.library.vanderbilt.edu/work/45	https://en.wikipedia.org/wiki/Books_of_Kings	https://www.wikidata.org/wiki/Q4224666			
9563	The Two Books of Chronicles (literary tradition)		ܣܦܪ ܕܒܪܝܡܝܢ	46	http://wwwb.library.vanderbilt.edu/work/46	https://en.wikipedia.org/wiki/Books_of_Chronicles	https://www.wikidata.org/wiki/Q161953			
9564	Book of Wisdom (literary tradition)		ܣܦܪܐ ܕܚܟܡܬܐ ܪܒܬܐ	47	http://wwwb.library.vanderbilt.edu/work/47	https://en.wikipedia.org/wiki/Book_of_Wisdom	https://www.wikidata.org/wiki/Q202135			
9565	Book of Illustrious Women (composed of Ruth and Susanna) (literary tradition)		ܟܬܒܐ ܕܥܠ ܢܫ̈ܐ ܡܫܒܚ̈ܬܐ	48	http://wwwb.library.vanderbilt.edu/work/48					
9566	Susanna (literary tradition)		ܟܬܒܐ ܕܫܘ̇ܫܢ ܛܘ̣ܒܢܝ̣ܬܐ	49	http://wwwb.library.vanderbilt.edu/work/49	https://en.wikipedia.org/wiki/Susanna_(Book_of_Daniel)	https://www.wikidata.org/wiki/Q756861			
9567	The Twelve Minor Prophets (literary tradition)		ܟܬܒܐ ܕܬܪ̈ܥܣܪ ܢܒ̈ܝܝܢ	50	http://wwwb.library.vanderbilt.edu/work/50	https://en.wikipedia.org/wiki/Twelve_Minor_Prophets	https://www.wikidata.org/wiki/Q245248	https://viaf.org/viaf/186714731	https://viaf.org/viaf/213035938	
9568	Jeremiah (literary tradition)		ܣܦܪܐ ܕܐܪܡܝܐ ܢܒܝܐ	24	http://wwwb.library.vanderbilt.edu/work/24	https://en.wikipedia.org/wiki/Book_of_Jeremiah	https://www.wikidata.org/wiki/Q131590	https://viaf.org/viaf/184659808	https://viaf.org/viaf/176172762	
9569	Prayer of Jeremiah (literary tradition)		ܨܠܘܬܐ ܕܐܪܡܝܐ	52	http://wwwb.library.vanderbilt.edu/work/52					
9570	Daniel (literary tradition)		ܣܦܪܐ ܕܕܢܝܐܠ ܢܒܝܐ	27	http://wwwb.library.vanderbilt.edu/work/27	https://en.wikipedia.org/wiki/Book_of_Daniel	https://www.wikidata.org/wiki/Q80115			
9571	Song of the Three Holy Children (literary tradition)		ܨܠܘܬܐ ܕܚܢܢܝܐ ܘܕܚܒܪ̈ܘܗܝ	54	http://wwwb.library.vanderbilt.edu/work/54					
9572	Bel and the Dragon (literary tradition)		ܬܫܥܝܬܐ ܕܒܝܠ ܦܬܟܪܐ ܘܬܫܥܝܬܐ ܕܬܢܝܢܐ 	55	http://wwwb.library.vanderbilt.edu/work/55	https://en.wikipedia.org/wiki/Bel_and_the_Dragon	https://www.wikidata.org/wiki/Q218087			
9573	Book of Holy Women (literary tradition)		ܟܬܒܐ ܕܥܠ ܢܫ̈ܐ ܩܕܝ̈ܫܬܐ	56	http://wwwb.library.vanderbilt.edu/work/56					
9574	Judith (literary tradition)		ܣܦܪܐ ܕܝܗܘܕܝܬ	57	http://wwwb.library.vanderbilt.edu/work/57	https://en.wikipedia.org/wiki/Book_of_Judith	https://www.wikidata.org/wiki/Q202129			
9575	Sirach/Ecclesiasticus (literary tradition)		ܣܦܪܐ ܕܝܫܘܥ ܒܪ ܐܣܝܪܐ	58	http://wwwb.library.vanderbilt.edu/work/58	https://en.wikipedia.org/wiki/Sirach	https://www.wikidata.org/wiki/Q155980			
9576	The Three Books of the Maccabees (literary tradition)			59	http://wwwb.library.vanderbilt.edu/work/59					
9577	1 Maccabees (literary tradition)		ܣܦܪܐ ܕܡܩ̈ܒܝܐ: ܐ	60	http://wwwb.library.vanderbilt.edu/work/60	https://en.wikipedia.org/wiki/1_Maccabees	https://www.wikidata.org/wiki/Q161985	https://viaf.org/viaf/192733858		
9578	2 Maccabees (literary tradition)		ܣܦܪܐ ܕܡܩ̈ܒܝܐ: ܒ	61	http://wwwb.library.vanderbilt.edu/work/61	https://en.wikipedia.org/wiki/2_Maccabees	https://www.wikidata.org/wiki/Q209748	https://viaf.org/viaf/198908857		
9579	3 Maccabees (literary tradition)			62	http://wwwb.library.vanderbilt.edu/work/62	https://en.wikipedia.org/wiki/3_Maccabees	https://www.wikidata.org/wiki/Q223169			
9580	4 Maccabees (literary tradition)		ܣܼܦܪܐ ܕܐܪܒܥܐ ܕܥܠ ܡܩ̈ܒܝܐ ܘܐܡܗܘܢ̈	63	http://wwwb.library.vanderbilt.edu/work/63	https://en.wikipedia.org/wiki/4_Maccabees	https://www.wikidata.org/wiki/Q230255			
9582	The Two Epistles of Baruch (literary tradition)		ܐܓܪ̈ܬܐ ܕܒܪܘܟ	65	http://wwwb.library.vanderbilt.edu/work/65					
9583	Epistle of Baruch (literary tradition)		ܐܓܪܬܐ ܕܒܪܘܟ ܣܦܪܐ	66	http://wwwb.library.vanderbilt.edu/work/66					
9584	Baruch (Second Epistle of Baruch) (literary tradition)		ܐܓܪܬܐ ܕܬܪܬܝܢ ܕܒܪܘܟ ܣܦܪܐ	67	http://wwwb.library.vanderbilt.edu/work/67	https://en.wikipedia.org/wiki/Book_of_Baruch	https://www.wikidata.org/wiki/Q211746			
9585	Pentateuch (literary tradition)		ܟܬܒܐ ܕܐܘܪܝܬܐ ܕܡܘܫܐ ܢܒܝ̣ܐ	68	http://wwwb.library.vanderbilt.edu/work/68	https://en.wikipedia.org/wiki/Torah	https://www.wikidata.org/wiki/Q34990			
9586	Old Testament (literary tradition)		ܟܬܒܐ ܕܕܝܬܩܐ ܥܬܝܩܬܐ	69	http://wwwb.library.vanderbilt.edu/work/69	https://en.wikipedia.org/wiki/Old_Testament	https://www.wikidata.org/wiki/Q19786	https://viaf.org/viaf/185083399		
9587	New Testament (literary tradition)		ܟܬܒܐ ܕܕܝܬܩܐ ܚ̇ܕܬܐ	70	http://wwwb.library.vanderbilt.edu/work/70	https://en.wikipedia.org/wiki/New_Testament	https://www.wikidata.org/wiki/Q18813	https://viaf.org/viaf/185488588		
9593	Acts (literary tradition)		ܦܪܟܣܣ ܕܫܠܝ̈ܚܐ	76	http://wwwb.library.vanderbilt.edu/work/76	https://en.wikipedia.org/wiki/Acts_of_the_Apostles	https://www.wikidata.org/wiki/Q40309			
9594	Romans (literary tradition)		ܐܓܪܬܐ ܕܦܘܠܘܣ ܕܠܘܬ ܪ̈ܗܘܡܝܐ	77	http://wwwb.library.vanderbilt.edu/work/77	https://en.wikipedia.org/wiki/Epistle_to_the_Romans	https://www.wikidata.org/wiki/Q48203			
9595	1 Corinthians (literary tradition)		ܐܓܪܬܐ ܕܦܘܠܘܣ ܕܠܘܬ ܩܘܪ̈ܝܢܬܝܐ ܩܕܡܝܬܐ	78	http://wwwb.library.vanderbilt.edu/work/78	https://en.wikipedia.org/wiki/First_Epistle_to_the_Corinthians	https://www.wikidata.org/wiki/Q80355			
9596	2 Corinthians (literary tradition)		ܐܓܪܬܐ ܕܦܘܠܘܣ ܕܠܘܬ ܩܘܪ̈ܝܢܬܝܐ ܕܬܪܬܝܢ	79	http://wwwb.library.vanderbilt.edu/work/79	https://en.wikipedia.org/wiki/Second_Epistle_to_the_Corinthians	https://www.wikidata.org/wiki/Q123808			
