New URI	title syriaca-headword.en		title syriaca-headword.Edition 1.syr	Corresponding work	Corresponding Work URI	idno URI	idno URI	idno URI	idno URI	idno URI
9704	1 John (literary tradition)		ܐܓܪܬܐ ܕܝܘܚܢܢ ܫܠܝܚܐ	94	http://wwwb.library.vanderbilt.edu/work/94	https://en.wikipedia.org/wiki/First_Epistle_of_John	https://www.wikidata.org/wiki/Q131101			
9706	1 Esdras (3 Ezra) (literary tradition)		ܟܬܒܐ ܩܕܡܝܐ ܕܥܙܪܐ	40	http://wwwb.library.vanderbilt.edu/work/40	https://en.wikipedia.org/wiki/1_Esdras	https://www.wikidata.org/wiki/Q1200049			
9710	Psalms of Solomon (literary tradition)			9508	http://wwwb.library.vanderbilt.edu/work/9508	https://en.wikipedia.org/wiki/Psalms_of_Solomon	https://www.wikidata.org/wiki/Q1418058			
9712	Prayer of Manasseh (literary tradition)		ܨܠܿܘܬܐ ܕܡܢܫܐ	9510	http://wwwb.library.vanderbilt.edu/work/9510	https://en.wikipedia.org/wiki/Prayer_of_Manasseh	https://www.wikidata.org/wiki/Q1337449			
9713	Apocryphal Psalms (151-155) (literary tradition)		ܚܡܫܐ ܡܙܡܘܪ̈ܐ ܕܠܝܬܝܗܘܢ ܡܼܢ ܡܢܝܢܐ ܝܘܢܝܐ ܘܠܐ ܥܒܪܝܐ	9511	http://wwwb.library.vanderbilt.edu/work/9511					
9715	Jonah (literary tradition)		ܣܦܪܐ ܕܝܘܢܢ ܢܒܝܐ	9714	http://wwwb.library.vanderbilt.edu/work/9714	https://en.wikipedia.org/wiki/Book_of_Jonah	https://www.wikidata.org/wiki/Q178819	https://viaf.org/viaf/213145294	https://viaf.org/viaf/183065974	
9718	Additions to Esther (literary tradition)		ܣܦܪܐ ܕܐܣܬܝܪ	9717	http://wwwb.library.vanderbilt.edu/work/9717	https://en.wikipedia.org/wiki/Book_of_Esther#Additions_to_Esther	https://www.wikidata.org/wiki/Q131068			
9720	Epistle of Jeremiah (literary tradition)		ܐܓܪܬܐ ܕܐܪܡܝܐ	9719	http://wwwb.library.vanderbilt.edu/work/9719	https://en.wikipedia.org/wiki/Letter_of_Jeremiah	https://www.wikidata.org/wiki/Q757010			
9722	Additions to Daniel (literary tradition)		ܣܦܪܐ ܕܕܢܝܐܝܠ (ܕܫܘܫܢ)	9721	http://wwwb.library.vanderbilt.edu/work/9721	https://en.wikipedia.org/wiki/Additions_to_Daniel	https://www.wikidata.org/wiki/Q912549			
10502	Psalms 152-155 (literary tradition)			10501	http://wwwb.library.vanderbilt.edu/work/10501	https://en.wikipedia.org/wiki/Psalms_152–155	https://www.wikidata.org/wiki/Q1317857			
10504	Prayer of Azariah (literary tradition)		ܨܠܘܬܐ ܕܥܙܪܝܐ ܘܕܚܒܪ̈ܘܗܝ	10503	http://wwwb.library.vanderbilt.edu/work/10503					
10507	Canticles (literary tradition)		ܬܫܒ̈ܚܬܐ ܟܠܗܝܢ	10506	http://wwwb.library.vanderbilt.edu/work/10506	https://en.wikipedia.org/wiki/Book_of_Odes_(Bible)	https://www.wikidata.org/wiki/Q997766			
10509	2 Baruch (Apocalypse of Baruch) (literary tradition)			10508	http://wwwb.library.vanderbilt.edu/work/10508	https://en.wikipedia.org/wiki/2_Baruch	https://www.wikidata.org/wiki/Q619838			
