title syriaca-headword.en	New URI	title.Edition 1.syr	title.Edition 1.syr-Syrj	Edition 1
***Headword	Syriaca ID			Antioch Bible bibl
Titus (Peshitta Version)	88	ܐܓ݁ܪܬ݁ܐ ܕ݂ܠܘܬ݂  ܛܛܘܣ	ܐܶܓ݁ܰܪܬ݁ܳܐ ܕ݂ܰܠܘܳܬ݂  ܛܺܛܳܘܣ	2362
Philemon (Peshitta Version)	89	ܐܓ݁ܪܬ݁ܐ ܕ݂ܠܘܬ݂  ܦ݂ܝܠܡܘܢ	ܐܶܓ݁ܰܪܬ݁ܳܐ ܕ݂ܰܠܘܳܬ݂  ܦ݂ܺܝܠܳܡܳܘܢ	2362
Hebrews (Peshitta Version)	90	ܐܓܪܬܐ ܕܠܘܬ ܥܒܪ̈ܝܐ	ܐܶܓ݁ܰܪܬ݁ܳܐ ܕ݂ܰܠܘܳܬ݂ ܥܶܒ݂ܪ̈ܳܝܶܐ	2377
James (Peshitta Version)	91	ܐܓ݁ܪܬ݁ܐ ܕ݂ܝܥܩܘܒ݂  ܫܠܝܚܐ	ܐܶܓ݁ܰܪܬ݁ܳܐ ܕ݂ܝܰܥܩܽܘܒ݂  ܫܠܺܝܚܳܐ	2377
1 Peter (Peshitta Version)	92	ܐܓ݁ܪܬ݁ܐ ܕ݂ܦ݁ܛܪܘܣ ܫܠܝܚܐ	ܐܶܓ݁ܰܪܬ݁ܳܐ ܕ݂ܦ݁ܶܛܪܳܘܣ ܫܠܺܝܚܳܐ	2377
2 Peter (Peshitta Version)	93	ܐܓ݁ܪܬ݁ܐ ܕ݁ܬ݁ܪ̈ܬ݁ܝܢ ܕ݂ܦ݁ܛܪܘܣ ܫܠܝܚܐ	ܐܶܓ݁ܰܪܬ݁ܳܐ ܕ݁ܬ݁ܰܪ̈ܬ݁ܶܝܢ ܕ݂ܦ݁ܶܛܪܳܘܣ ܫܠܺܝܚܳܐ	2377
1 John (Peshitta Version)	94	ܐܓ݁ܪܬ݁ܐ ܕ݂ܝܘܚܢܢ ܫܠܝܚܐ	ܐܶܓ݁ܰܪܬ݁ܳܐ ܕ݂ܝܽܘܚܰܢܳܢ ܫܠܺܝܚܳܐ	2377
2 John (Peshitta Version)	95	ܐܓ݁ܪܬ݁ܐ ܕ݁ܬ݁ܪ̈ܬ݁ܝܢ ܕ݂ܝܘܚܢܢ ܫܠܝܚܐ	ܐܶܓ݁ܰܪܬ݁ܳܐ ܕ݁ܬ݁ܰܪ̈ܬ݁ܶܝܢ ܕ݂ܝܽܘܚܰܢܳܢ ܫܠܺܝܚܳܐ	2377
3 John (Peshitta Version)	96	ܐܓ݁ܪܬ݁ܐ ܕ݂ܬ݂ܠܬ݂  ܕ݁ܝܘܚܢܢ ܫܠܝܚܐ	ܐܶܓ݁ܰܪܬ݁ܳܐ ܕ݂ܰܬ݂ܠܳܬ݂  ܕ݁ܝܽܘܚܰܢܳܢ ܫܠܺܝܚܐ	2377
Jude (Peshitta Version)	97	ܐܓ݁ܪܬ݁ܐ ܕ݂ܝܗܘܕ݂ܐ ܫܠܝܚܐ	ܐܶܓ݁ܰܪܬ݁ܳܐ ܕ݂ܺܝܗܽܘܕ݂ܳܐ ܫܠܺܝܚܳܐ	2377
