title syriaca-headword.en	New URI	relation skos---broadMatch	Ms 4	citedRange fol.Ms 4	bibl-note.Ms 4	Ms 5	citedRange fol.Ms 5	bibl-note.Ms 5	Edition 1	citedRange pp.Edition 1	note incipit.Edition 1.syr-Syrj	Catalogue 2	citedRange pp.Catalogue 2	cites.Catalogue 2
***Headword	Syriaca ID	In Literary Tradition												
2 Peter	93	9703	Manchester, John Rylands University Library, Syriac 2 (=Crawford Syriac 2) (12th cent.?)	175b-178		Manchester, John Rylands University Library, Syriac 11 (=Harris Syriac 137) (1905)	46b-49		2445	9-22	ܫܶܡܥܽܘܢ ܦܶܛܪܳܘܣ ܥܰܒܕܳܐ ܘܰܫܠܺܝܚܳܐ ܕܝܶܫܽܘܥ ܡܫܺܝܚܳܐ. ܠܰܐܝܠܶܝܢ ܕܰܠܗܰܝܡܳܢܽܘܬܳܐ ܫܰܘܝܰܬ ܒܺܐܝܩܳܪܳܐ ܥܰܡܰܢ ܐܶܫܬܘܺܝܘ: ܒܐܰܕܺܝܩܽܘܬܳܐ ܕܡܳܪܰܢ ܘܦܳܪܽܘܩܰܢ ܝܶܫܽܘܥ ܡܫܺܝܚܳܐ.	2430	118-119, 130-131	Ms 4, Ms 5
1 John (Peshitta Version)	94	9704	Manchester, John Rylands University Library, Syriac 2 (=Crawford Syriac 2) (12th cent.?)	178a-181		Manchester, John Rylands University Library, Syriac 11 (=Harris Syriac 137) (1905)	49a-52					2430	118-119, 130-131	Ms 4, Ms 5
2 John	95	9612	Manchester, John Rylands University Library, Syriac 2 (=Crawford Syriac 2) (12th cent.?)	181a-182		Manchester, John Rylands University Library, Syriac 11 (=Harris Syriac 137) (1905)	52b-53		2445	23-26	ܩܰܫܺܝܫܳܐ ܠܰܓܒܺܝܬܳܐ ܩܽܘܪܺܝܐ ܘܠܰܒ̈ܢܶܝܗ. ܐܰܝܠܶܝܢ ܕܶܐܢܳܐ ܡܰܚܶܒ ܐ̱ܢܳܐ ܒܰܫܪܳܪܳܐ. ܠܳܐ ܗ̱ܘܳܐ ܕܶܝܢ ܐܶܢܳܐ ܒܰܠܚܽܘܕܰܝ: ܐܶܠܳܐ ܟܽܘܠܗܽܘܢ ܐܰܝܠܶܝܢ ܕܝܰܕܥܽܘܗ̱ܝ ܠܰܫܪܳܪܳܐ:	2430	118-119, 130-131	Ms 4, Ms 5
3 John	96	9613	Manchester, John Rylands University Library, Syriac 2 (=Crawford Syriac 2) (12th cent.?)	182a-183a		Manchester, John Rylands University Library, Syriac 11 (=Harris Syriac 137) (1905)	53a		2445	27-30	ܩܰܫܺܝܫܳܐ ܠܓܰܐܺܝܳܘܣ ܚܰܒܺܝܒ. ܠܗܳܘ ܕܶܐܢܳܐ ܡܰܚܶܒ ܐ̱ܢܳܐ ܒܰܫܪܳܪܳܐ.	2430	118-119, 130-131	Ms 4, Ms 5
Jude	97	9614	Manchester, John Rylands University Library, Syriac 2 (=Crawford Syriac 2) (12th cent.?)			Manchester, John Rylands University Library, Syriac 11 (=Harris Syriac 137) (1905)	53b		2445	31-37	ܝܺܗܽܘܕܳܐ ܥܰܒܕܳܐ ܕܝܶܫܽܘܥ ܡܫܺܝܚܳܐ. ܐܰܚܳܐ ܕܶܝܢ ܕܝܰܥܩܽܘܒ. ܠܥܰܡ̱̈ܡܶܐ ܩܪ̈ܰܝܳܐ ܕܒܰܐܠܳܗܳܐ ܐܰܒܳܐ ܪ̈ܚܺܝܡܺܝܢ: ܘܰܒܝܶܫܽܘܥ ܡܫܺܝܚܳܐ ܢܛܺܝܪ̈ܺܝܢ:	2430	118-119, 130-131	Ms 4, Ms 5
Revelation	98	9615	Manchester, John Rylands University Library, Syriac 2 (=Crawford Syriac 2) (12th cent.?)	120a-134a								2430	118-119	Ms 4
New Testament (Peshitta Version)	70	9587	Manchester, John Rylands University Library, Syriac 2 (=Crawford Syriac 2) (12th cent.?)									2430	118-119	Ms 4
Catholic Epistles (Peshitta Version)	160	9644	Manchester, John Rylands University Library, Syriac 2 (=Crawford Syriac 2) (12th cent.?)	168b-175, 178a-181								2430	118-119	Ms 4
The Four Gospels (Peshitta Version)	71	9645	Manchester, John Rylands University Library, Syriac 2 (=Crawford Syriac 2) (12th cent.?)	2a-108b, 120a		Manchester, John Rylands University Library, Syriac 1 (=Crawford Syriac 1) (6th cent.)						2430	117-119	Ms 4, Ms 5
Acts and Catholic Epistles (Peshitta Version)	10513	10514	Manchester, John Rylands University Library, Syriac 2 (=Crawford Syriac 2) (12th cent.?)	134a-183a								2430	118-119	Ms 4
Epistles of Paul (Peshitta Version)	159	9643	Manchester, John Rylands University Library, Syriac 2 (=Crawford Syriac 2) (12th cent.?)	183a-249b		Manchester, John Rylands University Library, Syriac 11 (=Harris Syriac 137) (1905)	65b-143b	Includes introduction.				2430	130-131	Ms 4, Ms 5
Passion Story, excerpted from the Four Gospels (Harklean Version)	10515	10516	Manchester, John Rylands University Library, Syriac 2 (=Crawford Syriac 2) (12th cent.?)	109a-119a								2430	118-119	Ms 4
Gospel of Matthew (Harklensian Version)	162	9646	Manchester, John Rylands University Library, Syriac 10 (=Harris Syriac 135) (1898)	30a-104a	Includes commentary. Missing 20:21-21:7.							2430	129-130	Ms 4
Gospel of Mark (Harklensian Version)	163	9647	Manchester, John Rylands University Library, Syriac 10 (=Harris Syriac 135) (1898)	107b-155a	Includes commentary							2430	129-130	Ms 4
Gospel of Luke (Harklensian Version)	164	9648	Manchester, John Rylands University Library, Syriac 10 (=Harris Syriac 135)	158b-236a	Includes commentary							2430	129-130	Ms 4
Gospel of John (Harklensian Version)	157	9641	Manchester, John Rylands University Library, Syriac 10 (=Harris Syriac 135)	243b-304b	Includes commentary							2430	129-130	Ms 4
The Four Gospels (Harklensian Version)	161	9645	Manchester, John Rylands University Library, Syriac 10 (=Harris Syriac 135)	27a-304b	Includes introductory material and commentary							2430	129-130	Ms 4
1 Clement	10517		Manchester, John Rylands University Library, Syriac 11 (=Harris Syriac 137) (1905)	54b-60								2430	130-131	Ms 4
2 Clement	10518		Manchester, John Rylands University Library, Syriac 11 (=Harris Syriac 137) (1905)	60a-65a								2430	130-131	Ms 4
