term syriaca-headword.en	***Categories	***Source	***currently in use	New URI	idno URI	idno URI	idno	gloss.en	gloss.en	gloss.en	gloss.en	gloss.en	gloss.en	gloss.ln	gloss.ln	gloss.grc	note abstract	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	***[revisit]	***[NOTES]		
Agnoetes		CBSC	Agnoetes	agnoetes																	http://syriaca.org/keyword/christianity																																									
Agriculture		CBSC	agriculture	agriculture	http://id.loc.gov/authorities/subjects/sh85002415			farming	husbandry															http://syriaca.org/keyword/economics																																			x	What is the difference between farming and agriculture?		
Akkadian language		CBSC	Akkadian	akkadian-language	http://id.loc.gov/authorities/subjects/sh85003070		ISO 639-2: akk	Accadian language	Assyrian language	Assyro-Babylonian language	Babylonian language																												http://syriaca.org/keyword/linguistics																							
Alchemy		CBSC	alchemy	alchemy	http://id.loc.gov/authorities/subjects/sh85003265			philosophers' egg	philosophers' stone	transmutation of metals																																												http://syriaca.org/keyword/techne								
Allegory		CBSC	allegory	allegory	http://id.loc.gov/authorities/subjects/sh85003642																																		http://syriaca.org/keyword/linguistics																							
Alms		CBSC	alms	alms	http://id.loc.gov/authorities/subjects/sh85022672			almsgiving																		http://syriaca.org/keyword/ethics																							http://syriaca.org/keyword/religion										x	LOC has the same subject for "alms" and for "charity"		
Alphabets		CBSC	alphabet	alphabets	http://id.loc.gov/authorities/subjects/sh85003819			letters																															http://syriaca.org/keyword/linguistics																			http://syriaca.org/keyword/writing				
Altars		CBSC	altar	altars	http://id.loc.gov/authorities/subjects/sh85003895																																												http://syriaca.org/keyword/religion	http://syriaca.org/keyword/ritual												
Amanuensis		new		amanuensis				secretary	literary assistant	scribe																																																http://syriaca.org/keyword/writing				
Amulets		CBSC	amulets	amulets	http://id.loc.gov/authorities/subjects/sh85004685			charms	talismans																																			http://syriaca.org/keyword/objects					http://syriaca.org/keyword/religion	http://syriaca.org/keyword/ritual												
